Year,Department or agency,Province or territory of work,Number of employees
2010,Royal Canadian Mounted Police (Civilian Staff),Alberta,573
2010,Royal Canadian Mounted Police (Civilian Staff),British Columbia,1311
2010,Royal Canadian Mounted Police (Civilian Staff),Manitoba,324
2010,Royal Canadian Mounted Police (Civilian Staff),National Capital Region (NCR),1851
2010,Royal Canadian Mounted Police (Civilian Staff),New Brunswick,416
2010,Royal Canadian Mounted Police (Civilian Staff),Newfoundland and Labrador,166
2010,Royal Canadian Mounted Police (Civilian Staff),Northwest Territories,29
2010,Royal Canadian Mounted Police (Civilian Staff),Nova Scotia,268
2010,Royal Canadian Mounted Police (Civilian Staff),Nunavut,10
2010,Royal Canadian Mounted Police (Civilian Staff),Ontario (minus the NCR),300
2010,Royal Canadian Mounted Police (Civilian Staff),Outside of Canada,1
2010,Royal Canadian Mounted Police (Civilian Staff),Prince Edward Island,34
2010,Royal Canadian Mounted Police (Civilian Staff),Quebec (minus the NCR),308
2010,Royal Canadian Mounted Police (Civilian Staff),Saskatchewan,624
2010,Royal Canadian Mounted Police (Civilian Staff),Yukon,35
2010,Security Intelligence Review Committee,National Capital Region (NCR),14
2010,Social Sciences and Humanities Research Council of Canada,National Capital Region (NCR),206
2010,Statistical Survey Operations,Alberta,247
2010,Statistical Survey Operations,British Columbia,137
2010,Statistical Survey Operations,Manitoba,214
2010,Statistical Survey Operations,National Capital Region (NCR),1
2010,Statistical Survey Operations,New Brunswick,51
2010,Statistical Survey Operations,Newfoundland and Labrador,42
2010,Statistical Survey Operations,Northwest Territories,2
2010,Statistical Survey Operations,Nova Scotia,223
2010,Statistical Survey Operations,Nunavut,3
2010,Statistical Survey Operations,Ontario (minus the NCR),539
2010,Statistical Survey Operations,Prince Edward Island,36
2010,Statistical Survey Operations,Quebec (minus the NCR),284
2010,Statistical Survey Operations,Saskatchewan,61
2010,Statistical Survey Operations,Yukon,5
2010,Statistics Canada,Alberta,40
2010,Statistics Canada,British Columbia,27
2010,Statistics Canada,Manitoba,25
2010,Statistics Canada,National Capital Region (NCR),5207
2010,Statistics Canada,New Brunswick,2
2010,Statistics Canada,Nova Scotia,49
2010,Statistics Canada,Ontario (minus the NCR),134
2010,Statistics Canada,Quebec (minus the NCR),67
2010,Statistics Canada,Saskatchewan,7
2010,The Correctional Investigator Canada,National Capital Region (NCR),26
2010,Transport Canada,Alberta,228
2010,Transport Canada,British Columbia,573
2010,Transport Canada,Manitoba,268
2010,Transport Canada,National Capital Region (NCR),2885
2010,Transport Canada,New Brunswick,196
2010,Transport Canada,Newfoundland and Labrador,108
2010,Transport Canada,Northwest Territories,4
2010,Transport Canada,Nova Scotia,146
2010,Transport Canada,Ontario (minus the NCR),528
2010,Transport Canada,Outside of Canada,1
2010,Transport Canada,Prince Edward Island,9
2010,Transport Canada,Quebec (minus the NCR),560
2010,Transport Canada,Saskatchewan,13
2010,Transport Canada,Yukon,5
2010,Transportation Appeal Tribunal of Canada,National Capital Region (NCR),8
2010,Transportation Safety Board of Canada,Alberta,10
2010,Transportation Safety Board of Canada,British Columbia,15
2010,Transportation Safety Board of Canada,Manitoba,10
2010,Transportation Safety Board of Canada,National Capital Region (NCR),151
2010,Transportation Safety Board of Canada,New Brunswick,1
2010,Transportation Safety Board of Canada,Nova Scotia,8
2010,Transportation Safety Board of Canada,Ontario (minus the NCR),9
2010,Transportation Safety Board of Canada,Quebec (minus the NCR),12
2010,Treasury Board of Canada Secretariat,Alberta,1
2010,Treasury Board of Canada Secretariat,British Columbia,6
2010,Treasury Board of Canada Secretariat,Manitoba,1
2010,Treasury Board of Canada Secretariat,National Capital Region (NCR),2068
2010,Treasury Board of Canada Secretariat,New Brunswick,2
2010,Treasury Board of Canada Secretariat,Newfoundland and Labrador,3
2010,Treasury Board of Canada Secretariat,Nova Scotia,3
2010,Treasury Board of Canada Secretariat,Ontario (minus the NCR),6
2010,Treasury Board of Canada Secretariat,Outside of Canada,1
2010,Treasury Board of Canada Secretariat,Prince Edward Island,2
2010,Treasury Board of Canada Secretariat,Quebec (minus the NCR),4
2010,Veterans Affairs Canada,Alberta,98
2010,Veterans Affairs Canada,British Columbia,265
2010,Veterans Affairs Canada,Manitoba,147
2010,Veterans Affairs Canada,National Capital Region (NCR),213
2010,Veterans Affairs Canada,New Brunswick,63
2010,Veterans Affairs Canada,Newfoundland and Labrador,37
2010,Veterans Affairs Canada,Nova Scotia,178
2010,Veterans Affairs Canada,Ontario (minus the NCR),468
2010,Veterans Affairs Canada,Outside of Canada,14
2010,Veterans Affairs Canada,Prince Edward Island,1413
2010,Veterans Affairs Canada,Quebec (minus the NCR),1196
2010,Veterans Affairs Canada,Saskatchewan,31
2010,Western Economic Diversification Canada,Alberta,200
2010,Western Economic Diversification Canada,British Columbia,105
2010,Western Economic Diversification Canada,Manitoba,82
2010,Western Economic Diversification Canada,National Capital Region (NCR),54
2010,Western Economic Diversification Canada,Ontario (minus the NCR),1
2010,Western Economic Diversification Canada,Saskatchewan,68
2010,Women and Gender Equality Canada,Alberta,3
2010,Women and Gender Equality Canada,British Columbia,1
2010,Women and Gender Equality Canada,National Capital Region (NCR),78
2010,Women and Gender Equality Canada,New Brunswick,6
2010,Women and Gender Equality Canada,Quebec (minus the NCR),5
2011,Agriculture and Agri-Food Canada,Alberta,539
2011,Agriculture and Agri-Food Canada,British Columbia,292
2011,Agriculture and Agri-Food Canada,Manitoba,992
2011,Agriculture and Agri-Food Canada,National Capital Region (NCR),2568
2011,Agriculture and Agri-Food Canada,New Brunswick,169
2011,Agriculture and Agri-Food Canada,Newfoundland and Labrador,45
2011,Agriculture and Agri-Food Canada,Nova Scotia,145
2011,Agriculture and Agri-Food Canada,Nunavut,1
2011,Agriculture and Agri-Food Canada,Ontario (minus the NCR),450
2011,Agriculture and Agri-Food Canada,Outside of Canada,3
2011,Agriculture and Agri-Food Canada,Prince Edward Island,98
2011,Agriculture and Agri-Food Canada,Quebec (minus the NCR),673
2011,Agriculture and Agri-Food Canada,Saskatchewan,981
2011,Agriculture and Agri-Food Canada,Yukon,2
2011,Assisted Human Reproduction Canada,British Columbia,6
2011,Assisted Human Reproduction Canada,National Capital Region (NCR),11
2011,Atlantic Canada Opportunities Agency,Manitoba,1
2011,Atlantic Canada Opportunities Agency,National Capital Region (NCR),33
2011,Atlantic Canada Opportunities Agency,New Brunswick,399
2011,Atlantic Canada Opportunities Agency,Newfoundland and Labrador,125
2011,Atlantic Canada Opportunities Agency,Nova Scotia,122
2011,Atlantic Canada Opportunities Agency,Outside of Canada,3
2011,Atlantic Canada Opportunities Agency,Prince Edward Island,71
2011,Canada Border Services Agency,Alberta,518
2011,Canada Border Services Agency,British Columbia,1940
2011,Canada Border Services Agency,Manitoba,488
2011,Canada Border Services Agency,National Capital Region (NCR),4177
2011,Canada Border Services Agency,New Brunswick,405
2011,Canada Border Services Agency,Newfoundland and Labrador,77
2011,Canada Border Services Agency,Northwest Territories,2
2011,Canada Border Services Agency,Nova Scotia,304
2011,Canada Border Services Agency,Nunavut,1
2011,Canada Border Services Agency,Ontario (minus the NCR),4079
2011,Canada Border Services Agency,Outside of Canada,13
2011,Canada Border Services Agency,Prince Edward Island,5
2011,Canada Border Services Agency,Quebec (minus the NCR),2201
2011,Canada Border Services Agency,Saskatchewan,156
2011,Canada Border Services Agency,Yukon,21
2011,Canada Economic Development for Quebec Regions,National Capital Region (NCR),25
2011,Canada Economic Development for Quebec Regions,Quebec (minus the NCR),431
2011,Canada Energy Regulator,Alberta,388
2011,Canada Energy Regulator,Northwest Territories,1
2011,Canada Industrial Relations Board,British Columbia,5
2011,Canada Industrial Relations Board,Manitoba,2
2011,Canada Industrial Relations Board,National Capital Region (NCR),75
2011,Canada Industrial Relations Board,Nova Scotia,3
2011,Canada Industrial Relations Board,Ontario (minus the NCR),6
2011,Canada Industrial Relations Board,Quebec (minus the NCR),11
2011,Canada Revenue Agency,Alberta,2643
2011,Canada Revenue Agency,British Columbia,4765
2011,Canada Revenue Agency,Manitoba,2891
2011,Canada Revenue Agency,National Capital Region (NCR),11869
2011,Canada Revenue Agency,New Brunswick,610
2011,Canada Revenue Agency,Newfoundland and Labrador,1322
2011,Canada Revenue Agency,Nova Scotia,705
2011,Canada Revenue Agency,Ontario (minus the NCR),9959
2011,Canada Revenue Agency,Prince Edward Island,968
2011,Canada Revenue Agency,Quebec (minus the NCR),5498
2011,Canada Revenue Agency,Saskatchewan,623
2011,Canada School of Public Service,Alberta,15
2011,Canada School of Public Service,British Columbia,23
2011,Canada School of Public Service,Manitoba,15
2011,Canada School of Public Service,National Capital Region (NCR),864
2011,Canada School of Public Service,New Brunswick,14
2011,Canada School of Public Service,Newfoundland and Labrador,1
2011,Canada School of Public Service,Northwest Territories,1
2011,Canada School of Public Service,Nova Scotia,17
2011,Canada School of Public Service,Ontario (minus the NCR),20
2011,Canada School of Public Service,Prince Edward Island,1
2011,Canada School of Public Service,Quebec (minus the NCR),34
2011,Canada School of Public Service,Saskatchewan,3
2011,Canada School of Public Service,Yukon,2
2011,Canadian Artists and Producers Professional Relations Tribunal,British Columbia,1
2011,Canadian Artists and Producers Professional Relations Tribunal,National Capital Region (NCR),10
2011,Canadian Dairy Commission,National Capital Region (NCR),61
2011,Canadian Food Inspection Agency,Alberta,668
2011,Canadian Food Inspection Agency,British Columbia,535
2011,Canadian Food Inspection Agency,Manitoba,287
2011,Canadian Food Inspection Agency,National Capital Region (NCR),1992
2011,Canadian Food Inspection Agency,New Brunswick,272
2011,Canadian Food Inspection Agency,Newfoundland and Labrador,144
2011,Canadian Food Inspection Agency,Nova Scotia,219
2011,Canadian Food Inspection Agency,Ontario (minus the NCR),1101
2011,Canadian Food Inspection Agency,Prince Edward Island,134
2011,Canadian Food Inspection Agency,Quebec (minus the NCR),1086
2011,Canadian Food Inspection Agency,Saskatchewan,250
2011,Canadian Grain Commission,Alberta,4
2011,Canadian Grain Commission,British Columbia,233
2011,Canadian Grain Commission,Manitoba,263
2011,Canadian Grain Commission,National Capital Region (NCR),1
2011,Canadian Grain Commission,Ontario (minus the NCR),94
2011,Canadian Grain Commission,Quebec (minus the NCR),50
2011,Canadian Grain Commission,Saskatchewan,10
2011,Canadian Heritage,Alberta,23
2011,Canadian Heritage,British Columbia,51
2011,Canadian Heritage,Manitoba,37
2011,Canadian Heritage,National Capital Region (NCR),1718
2011,Canadian Heritage,New Brunswick,38
2011,Canadian Heritage,Newfoundland and Labrador,15
2011,Canadian Heritage,Northwest Territories,3
2011,Canadian Heritage,Nova Scotia,12
2011,Canadian Heritage,Ontario (minus the NCR),68
2011,Canadian Heritage,Prince Edward Island,9
2011,Canadian Heritage,Quebec (minus the NCR),70
2011,Canadian Heritage,Saskatchewan,18
2011,Canadian Heritage,Yukon,4
2011,Canadian Human Rights Commission,Alberta,6
2011,Canadian Human Rights Commission,British Columbia,1
2011,Canadian Human Rights Commission,Manitoba,2
2011,Canadian Human Rights Commission,National Capital Region (NCR),180
2011,Canadian Human Rights Commission,Nova Scotia,1
2011,Canadian Human Rights Commission,Ontario (minus the NCR),2
2011,Canadian Human Rights Commission,Quebec (minus the NCR),5
2011,Canadian Institutes of Health Research,National Capital Region (NCR),463
2011,Canadian Intergovernmental Conference Secretariat,National Capital Region (NCR),24
2011,Canadian International Trade Tribunal,National Capital Region (NCR),81
2011,Canadian Nuclear Safety Commission,Alberta,10
2011,Canadian Nuclear Safety Commission,National Capital Region (NCR),796
2011,Canadian Nuclear Safety Commission,New Brunswick,4
2011,Canadian Nuclear Safety Commission,Ontario (minus the NCR),36
2011,Canadian Nuclear Safety Commission,Outside of Canada,1
2011,Canadian Nuclear Safety Commission,Quebec (minus the NCR),12
2011,Canadian Nuclear Safety Commission,Saskatchewan,13
2011,Canadian Polar Commission,National Capital Region (NCR),5
2011,Canadian Radio-television and Telecommunications Commission,Alberta,3
2011,Canadian Radio-television and Telecommunications Commission,British Columbia,4
2011,Canadian Radio-television and Telecommunications Commission,Manitoba,2
2011,Canadian Radio-television and Telecommunications Commission,National Capital Region (NCR),402
2011,Canadian Radio-television and Telecommunications Commission,Nova Scotia,6
